State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ABIA,ABA NORTH,EZIAMA,01-01-01-001,RAILWAY QUARTERS - RAILWAY QUARTERS I,85,968,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,7,56,25,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677420870.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-002,RAILWAY QUARTERS - RAILWAY QUARTERS II,90,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/8/8-1677512048.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-003,RAILWAY QUARTERS - RAILWAY QUARTERS III,105,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/9/9-1677512335.pdf
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY - ABIA POLY I,138,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677396730.pdf
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,71,774,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,71,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/012/012-1677409420.pdf
ABIA,ABA NORTH,OSUSU I,01-01-03-002,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II,156,883,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54/result_160777_1677691483_thumb.jpg
ABIA,ABA NORTH,OSUSU II,01-01-04-004,OSUSU SECONDARY SCHOOL  - SCHOOL PREMISES IV,297,1678,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,287,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77/result_160824_1677489715_thumb.jpg
ABIA,ABA NORTH,OSUSU II,01-01-04-014,BRIGHT WAY NURS. SCHOOL - SCHOOL PREMISES VII,144,934,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,1,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87/result_160834_1677492427_thumb.jpg
ABIA,ABA NORTH,OSUSU II,01-01-04-016,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES I,173,877,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/89/result_160836_1677494664_thumb.jpg
ABIA,ABA NORTH,OSUSU II,01-01-04-018,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES III,165,874,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91/result_160838_1677493492_thumb.jpg
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-003,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III,119,877,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,105,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677405554.pdf
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-017,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V,142,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/017/017-1677415453.pdf
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-019,EKWEREAZU TOWN HALL - TOWN HALL I,191,967,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,178,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/019/019-1677416522.pdf
ABIA,ABA NORTH,URATTA,01-01-06-008,URATTA COUNCIL HALL  - HALL PREMISES VIII,102,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,98,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118/result_160891_1677515718_thumb.jpg
ABIA,ABA NORTH,URATTA,01-01-06-010,URATTA COUNCIL HALL  - HALL PREMISES X,97,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,96,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/120/result_160893_1677517115_thumb.jpg
ABIA,ABA NORTH,URATTA,01-01-06-017,URATTA COUNCIL HALL  - HALL PREMISES XVII,74,803,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,68,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/127/result_160900_1677485162_thumb.jpg
ABIA,ABA NORTH,URATTA,01-01-06-021,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV,68,653,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,57,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/131/result_160904_1677671962_thumb.jpg
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-010,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES X,85,472,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,83,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/010/010-1677414956.pdf
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-023,WATER TANK WATER TANK PREMISES VII,172,809,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,163,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/023/023-1677420332.pdf
