State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ADAMAWA,DEMSA,BILLE,02-01-01-001,BAMORO I/ CENTRAL PRI. SCH.,280,857,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2676/result_46011_1677492816_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-002,BAMORO II/ NEAR BAMAKO CLINIC,261,918,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,499,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2677/result_46012_1677492996_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-005,GAH - FULANI/ PRI. SCH.,202,495,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,38,26,145,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2680/result_46015_1677491689_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-007,GIDAN KILLU/ PLAYING GROUND,160,661,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,32,11,95,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2682/result_46017_1677492489_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-008,KWAFARA I/ TERE PRI. SCH.,210,730,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,45,45,94,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2683/result_46018_1677493600_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-009,KWAFARA II/ PLAYING GROUND,167,407,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,25,78,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2684/result_46019_1677493817_thumb.jpg
ADAMAWA,DEMSA,BORRONG,02-01-02-002,KUNTERI/ KUNTERI PRI. SCH.,244,700,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,24,41,160,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677405105.pdf
ADAMAWA,DEMSA,BORRONG,02-01-02-003,MBUMARA/ PLAYING GROUND,181,644,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,33,9,122,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677387800.pdf
ADAMAWA,DEMSA,BORRONG,02-01-02-004,MORRO/ MORRO PRIMARY SCH.,159,641,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,19,10,119,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677375886.pdf
ADAMAWA,DEMSA,BORRONG,02-01-02-005,TIKKA/ TIKKA PRI. SCH.,220,651,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3120/ward/17711/pu/2695/2695-1677594965.pdf
