State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ANAMBRA,AGUATA,ACHINA   I,04-01-01-001,ST. CHARLE'S SCHOOL,171,630,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677413762.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-005,AMANKWU SQUARE,153,500,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,142,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677410382.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-006,COOPERATIVE HALL,121,386,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677403453.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-008,OCHIEOBU SQUARE,134,426,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,124,4,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/008/008-1677359857.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-010,OYE MOTOR PARK  II,63,166,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,57,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677405851.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-011,OYE MOTOR PARK  III,105,447,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,98,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677410982.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-012,COUNCIL HALL,71,184,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,57,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8272/result_164747_1677590242_thumb.jpg
ANAMBRA,AGUATA,ACHINA   I,04-01-01-013,"OBINIKPA PRY. SCHOOL, UMEUZEIYI I",104,348,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,89,1,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/013/013-1677359166.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-014,"OBINIKPA PRY. SCHOOL, UMEUZEIYI  II",51,183,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,47,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/014/014-1677359218.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-001,PROGRESSIVE SCHOOL I,184,658,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,173,2,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677412331.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-002,UMUELEKE HALL I,127,491,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,117,2,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677410338.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-003,GIRLS SECONDARY SCHOOL I,126,346,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,118,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8277/result_164752_1677589456_thumb.jpg
ANAMBRA,AGUATA,ACHINA  II,04-01-02-004,GIRLS SECONDARY SCHOOL  II,43,125,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,1,34,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8278/result_164753_1677589757_thumb.jpg
ANAMBRA,AGUATA,ACHINA  II,04-01-02-005,AMANWAFOR SQUARE I,130,461,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,117,1,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677413536.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-006,AMANWAFOR SQUARE  II,69,202,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,63,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677413223.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-007,AMANWAFOR/ABUDUM SQUARE,111,378,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,98,4,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/007/007-1677414767.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-008,AMANWAFOR SQUARE III,46,171,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,43,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/008/008-1677414592.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-009,OBINIKPA PRY. SCHOOL  I,55,160,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,52,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/009/009-1677402509.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-010,OBINIKPA PRY. SCHOOL II,63,189,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,59,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/010/010-1677414244.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-011,UGWUOCHA SQUARE,59,213,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,54,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/011/011-1677406794.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-012,UMUELEKE HALL II,65,242,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,58,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/012/012-1677403826.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-013,UDARA-EKE SQUARE,95,351,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,84,2,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/013/013-1677409001.pdf
ANAMBRA,AGUATA,ACHINA  II,04-01-02-014,PROGRESSIVE SCH. II,152,433,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,141,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/014/014-1677408275.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-001,CENTRAL SCHOOL I,273,1053,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,254,3,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3172/ward/18267/pu/8298/8298-1677665094.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-002,CENTRAL SCHOOL II,256,989,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,227,2,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677368532.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-003,TOWN HALL I,167,572,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,160,2,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677368267.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-004,TOWN HALL II,100,398,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,96,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677380975.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-005,OBIOFIA PRY. SCHOOL,32,174,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,30,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677368815.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-007,"PRY. SCHOOL, AGULUEZE CHUKWU  II",125,410,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,110,4,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677370890.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-008,LONDON SCIENCE I,127,465,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,115,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/008/008-1677390792.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-009,LONDON SCIENCE I,127,465,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,69,6,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/008/008-1677390792.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-010,LONDON SCIENCE III,84,408,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,69,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/010/010-1677367779.pdf
