State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BAYELSA,BRASS,SHIRA,06-01-01-003,YANA WEST PRIMARY SCHOOL II,240,385,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,30,83,52,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675515/result_174715_1677923452_thumb.jpg
BAYELSA,BRASS,SHIRA,06-01-01-005,YANA WEST PRIMARY SCHOOL II,240,385,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,32,40,48,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675515/result_174715_1677923452_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-007,IGBODO 1 OPEN SPACE,84,374,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,17,21,43,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16952/result_177428_1677774304_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-008,AGIP SITE OPEN SPACE,58,433,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,39,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16953/result_177429_1677771100_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-009,AGIP SITE OPEN SPACE,58,433,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,2,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16953/result_177429_1677771100_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-011,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,23,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-012,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,10,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-013,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,9,17,28,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-016,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,1,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-019,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,13,20,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-020,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,15,16,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS 1,06-01-01-022,ANDREW POLO OPEN SPACE,49,422,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,11,19,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16956/result_177432_1677502050_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-001,TWON COMMUNITY KEMMER OPEN SPACE,94,822,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,28,21,32,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16968/result_177445_1677739952_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-002,CONSULATE (OPEN SPACE),74,654,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,45,3,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16969/result_177446_1677745387_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-004,GENERAL HOSPITAL OPEN SPACE,56,470,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,28,19,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16971/result_177448_1677744691_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-005,DOGIYE POLO OPEN SPACE,36,354,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,11,11,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16972/result_177449_1677738923_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-007,TWON KUBU COMMUNITY HALL,117,677,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,39,11,43,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16974/result_177451_1677739316_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-009,G.S.S TWON SCHOOL BUILDING,148,854,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,26,79,31,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16976/result_177453_1677740037_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-010,KALAOROBOU OPEN SPACE,122,610,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,80,18,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16977/result_177454_1677745606_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-011,SINTEH POLO OPEN SPACE,48,287,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,17,27,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16978/result_177455_1677739140_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-012,CUSTOMARY COURT COURT HALL,24,279,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,12,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16979/result_177456_1677739787_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-013,MANSONKIRI OPEN SPACE,0,355,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16980/result_177457_1677739701_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-014,ASNOGBAKIRI OPEN SPACE,21,384,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,2,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16981/result_177458_1677744595_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-015,ONABAGO,28,397,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,12,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16982/result_177459_1677740160_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-016,MICAH - KIRI OPEN SPACE,2,373,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,1,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16983/result_177460_1677744787_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-001,SIERI POLO COMMUNITY HALL,46,366,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,28,5,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16984/result_177463_1677708694_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-002,SIERI POLO OPEN SPACE,62,461,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,45,3,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16985/result_177464_1677708618_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-003,JOHN POLO OPEN SPACE,86,754,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,67,3,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16986/result_177465_1677708789_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-004,ITI-KIRI OPEN SPACE,20,278,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,1,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16987/result_177466_1677708854_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-005,POWGU POLO OPEN SPACE,73,377,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,9,43,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16988/result_177467_1677708482_thumb.jpg
BAYELSA,BRASS,EWOAMA/FANTUO,06-01-03-006,DIRIKIRI SCHOOL BUILDING,45,366,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,28,9,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16989/result_177468_1677708913_thumb.jpg
