State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BORNO,ABADAM,AREGE,08-01-01-003,METELE PRI. SCH. I,89,964,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,35,0,36,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22436/result_183227_1677540722_thumb.jpg
BORNO,ABADAM,AREGE,08-01-01-004,METELE PRI. SCH. II,41,614,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,66,25,3,63,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19184/pu/22447/22447-1677632078.pdf
BORNO,ABADAM,BANOWA,08-01-02-001,BANOWA PRI. SCH.,28,740,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,22,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22443/result_183241_1677535782_thumb.jpg
BORNO,ABADAM,BANOWA,08-01-02-003,LIMBARI,5,339,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,0,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22445/result_183243_1677532452_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-001,ALLA,41,622,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22446/result_183245_1677533489_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-002,BULANGILA,18,272,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,0,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22447/result_183246_1677532987_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-003,FOGUWA ,103,834,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,79,0,16,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22448/result_183247_1677532994_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-004,GAWASA I,44,475,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22449/result_183248_1677533762_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-005,LARISKI,2,219,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22450/result_183249_1677535585_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-006,MINARE,6,264,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22451/result_183250_1677534041_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-008,NGA'AM PRI. SCH.,82,690,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,67,0,6,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22453/result_183252_1677534204_thumb.jpg
BORNO,ABADAM,FOUGUWA,08-01-03-009,TALLAM,41,477,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,46,45,12,16,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22454/result_183253_1677534729_thumb.jpg
BORNO,ABADAM,JABULLAM,08-01-04-001,DAYA PRIMARY SCHOOL,86,680,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,56,0,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22455/result_183255_1677532886_thumb.jpg
BORNO,ABADAM,JABULLAM,08-01-04-002,JABULLAM EAST,66,628,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,52,0,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22456/result_183256_1677535157_thumb.jpg
BORNO,ABADAM,JABULLAM,08-01-04-003,JABULLAM PRI. SCH. I,83,849,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,70,0,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22457/result_183257_1677534097_thumb.jpg
BORNO,ABADAM,JABULLAM,08-01-04-004,JABULLAM PRI. SCH. II,58,600,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,47,0,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22458/result_183258_1677534716_thumb.jpg
BORNO,ABADAM,JABULLAM,08-01-04-005,YAUMA WANGO,85,664,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,66,0,18,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22459/result_183259_1677533033_thumb.jpg
BORNO,ABADAM,KUDOKURGU,08-01-05-001,ANGUWAN MODU I,41,868,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,19,0,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22470/22470-1677634368.pdf
BORNO,ABADAM,KUDOKURGU,08-01-05-002,ANGUWAN SULEIMAN I,39,978,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,20,0,14,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22471/22471-1677543778.pdf
BORNO,ABADAM,KUDOKURGU,08-01-05-004,DUGURI PRI. SCH.,21,602,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,18,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22463/result_183264_1677542993_thumb.jpg
BORNO,ABADAM,KUDOKURGU,08-01-05-005,G.S.S MALLAM FATORI,61,1017,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,42,0,16,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19188/pu/22474/22474-1677544486.pdf
BORNO,ABADAM,KUDOKURGU,08-01-05-006,KUDOKURGU HEALTH CENTRE,28,764,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,15,0,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22465/result_183266_1677542031_thumb.jpg
BORNO,ABADAM,KUDOKURGU,08-01-05-007,KUDOKURGU  BARRACKS,25,701,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,16,0,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22466/result_183267_1677541144_thumb.jpg
BORNO,ABADAM,KUDOKURGU,08-01-05-008,"LIMANTI, MOBBARTI I",19,1019,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,0,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22467/result_183268_1677539768_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-001,ANGUWAN DINKIMA,47,592,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,35,0,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19189/pu/22478/22478-1677548967.pdf
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-002,BUDUMARI,11,583,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,0,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22469/result_183276_1677533336_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-007,MARKET  WEST I,9,1052,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22474/result_183281_1677549960_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-008,TUMBUN DAN KATSINA,6,334,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22475/result_183282_1677534938_thumb.jpg
