State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
CROSS RIVER,ABI,ADADAMA,09-01-01-002,IVONE PLAY GROUND,177,482,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,91,18,66,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26367/result_250808_1677587899_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-003,EKPON MARKET SQUARE,116,503,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,39,26,47,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26368/result_250809_1677592841_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-004,IMINA PLAY GROUND,152,573,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,76,8,62,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26369/result_250810_1677589889_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-005,IBALEBO PLAY GROUND,177,853,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,75,34,61,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26370/result_250811_1677591387_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-006,ISONG INYANG PLAY GROUND,85,193,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,44,12,29,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26371/result_250812_1677591949_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-007,EMINKWE PLAY GROUND,152,384,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,64,7,77,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26372/result_250813_1677589155_thumb.jpg
CROSS RIVER,ABI,ADADAMA,09-01-01-008,EKPON TOWN HALL,210,698,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,68,46,89,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26373/result_250814_1677588814_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-001,AFAFANYI PRIMARY SCHOOL,234,909,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,121,47,55,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26374/result_250817_1677605418_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-002,AKPOZA PLAY GROUND,162,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26375/result_250818_1677605814_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-003,EZOMEZOM PLAY GROUND,38,896,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,159,10,135,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26376/result_250819_1677605970_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-005,ABE UYO PLAY GROUND,189,715,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,35,23,123,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26378/result_250821_1677606311_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-006,ABE OKUM PLAY GROUND,165,522,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,59,27,76,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26379/result_250822_1677606431_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-007,ABE ENYI USO PLAY GROUND,172,691,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,67,37,58,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26380/result_250823_1677606576_thumb.jpg
CROSS RIVER,ABI,AFAFANYI/IGONIGONI,09-01-02-008,"HEALTH CENTRE,  IGONIGONI",178,709,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,53,31,90,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26381/result_250824_1677606719_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-001,FUNAVAI PLAY GROUND,158,450,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,63,32,53,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26382/result_250828_1677594463_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-002,BAWETITI PLAY GROUND,195,675,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,101,37,39,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26383/result_250829_1677657814_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-003,ABEGOR TOWN HALL,100,439,True,-1,FALSE,TRUE,TRUE,FALSE,UNKNOWN,101,37,39,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26384/result_250830_1677596739_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-004,ANOIKPTE PLAYGROUND,111,408,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,25,43,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26385/result_250831_1677597163_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-005,REHUMOMET PLAY GROUND,64,191,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,37,8,17,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26386/result_250832_1677597680_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-006,HEALTH CENTRE,172,579,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,23,60,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26387/result_250833_1677598848_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-007,BANOBON TOWN HALL,80,749,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,22,25,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26388/result_250834_1677599905_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-008,ABE AWARI,105,809,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,38,24,37,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26389/result_250835_1677610610_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-009,EGBEZUM PLAY GROUND,268,828,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,215,28,21,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26390/result_250836_1677610726_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-010,BAROMI TOWN HALL,0,646,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,90,29,45,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26391/result_250837_1677610863_thumb.jpg
CROSS RIVER,ABI,EBOM,09-01-03-011,EBOM PRIMARY SCHOOL,115,266,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,62,15,25,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26392/result_250838_1677610977_thumb.jpg
CROSS RIVER,ABI,EDIBA,09-01-04-001,NEAR MRS. BASSEY OUT'S COMP,99,249,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,36,40,21,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26393/result_250840_1677595081_thumb.jpg
CROSS RIVER,ABI,EDIBA,09-01-04-002,NEAR UBI UKA'S COMPOUND,173,657,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,40,91,19,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26394/result_250841_1677599486_thumb.jpg
CROSS RIVER,ABI,EDIBA,09-01-04-003,ENOBOM PLAY GROUND,157,526,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,62,17,30,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/26395/result_250842_1677614200_thumb.jpg
