State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-001,"KANIDILIMA P/S - ISHIEKPE QUARTERS, ONICHA-UKU",213,1990,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677451358-28660.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-002,"KANIDILIMA P/S - OGBE AKWU, ONICHA-UKU",141,1257,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677358913.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-004,"UKPALI P/S - OGBE UTU QUARTERS I, OBIOR",175,861,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677447254-28663.pdf
DELTA,ANIOCHA NORTH,ONICHA - OLONA,10-01-04-006,UGBA  P/S - OGBE KENU  QUARTERS I,105,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,55,10,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19692/pu/28693/28693-1677455770.pdf
DELTA,ANIOCHA NORTH,UKWU - NZU,10-01-09-009,"AZONOBA P/S - UBULUBU I, UBULUBU",109,480,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,350,1,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19697/pu/28745/28745-1677455054.pdf
DELTA,ANIOCHA NORTH,UKWU - NZU,10-01-09-011,"AZONOBA P/S - UBULUBU III, UBULUBU ",141,550,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,7,168,0,5,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19697/pu/28747/28747-1677455902.pdf
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-003,"ISIANWAI PRIMARY SCHOOL, ISIANWAI/UZO EDO I",83,563,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,68,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28749/result_144317_1677503742_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-004,"ISIANWAI PRIMARY SCHOOL, ISIANWAI/UZO EDO II",85,673,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,58,20,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28750/result_144318_1677503861_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-005,"ABUISI SQUARE, ABUISI",36,378,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,27,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28751/result_144319_1677504109_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-008,"OMEZI PRIMARY SCHOOL, OLLOH CAMPS",103,722,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,64,28,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28754/result_144322_1677504442_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-009,"ASHINZE PRIMARY SCHOOL, AZAGBA OGWASHI/UMUJEA",181,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,28,140,6,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28755/result_144323_1677504532_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-010,"AZAGBA JUNCTION SQUARE, AZAGBA JUNCTION",170,972,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,17,103,32,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28756/result_144324_1677504648_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-011,"EDO VILLAGE SQUARE, EDO/EDO NEW ROAD",171,680,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,112,34,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28757/result_144325_1677504816_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-012,"EBITEH PRIMARY SCHOOL, ISAH OGWASHI",271,1331,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28758/result_144326_1677505006_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-013,"UMUOKWE PRIMARY SCHOOL, ABOH OGWASHI",163,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,15,104,29,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/28759/result_144327_1677505113_thumb.jpg
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-001,"NWEZE P/S, UMU-UZU/UMU OCHELE",179,843,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,131,29,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/001/001-1677413035.pdf
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-002,"NWEZE P/S, UMU- OCHELE ISIOKWE",193,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,137,29,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/002/002-1677413620.pdf
