State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EBONYI,ABAKALIKI,ABAKPA,11-01-01-002,ADAZI-ENU HALL  II,150,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,139,0,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19959/pu/32285/32285-1677668882.pdf
EBONYI,ABAKALIKI,ABAKPA,11-01-01-003,CO-OPERATIVE SQUARE I,257,1045,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,163,1,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32276/result_152002_1677518259_thumb.jpg
EBONYI,ABAKALIKI,ABAKPA,11-01-01-004,CO-OPERATIVE SQUARE II,203,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,193,4,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19959/pu/32287/32287-1677665899.pdf
EBONYI,ABAKALIKI,ABAKPA,11-01-01-006,NIBO/NSUKKA STR JUNCTION II,192,750,True,-1,FALSE,FALSE,TRUE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19959/pu/32289/32289-1677671526.pdf
EBONYI,ABAKALIKI,ABAKPA,11-01-01-007,VANCO HOTEL SPACE I,254,1200,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,244,2,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19959/pu/32290/32290-1677665195.pdf
EBONYI,ABAKALIKI,ABAKPA,11-01-01-008,VANCO HOTEL SPACE II,135,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,128,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/1/8/1/8-1677415800.pdf
EBONYI,ABAKALIKI,ABAKPA,11-01-01-009,ONUEBONYI PRIMARY SCHOOL,188,1377,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,33,147,0,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32282/result_152008_1677519995_thumb.jpg
EBONYI,ABAKALIKI,ABAKPA,11-01-01-010,GIRLS HIGH SCHOOL AZUIYIOKWU,291,1577,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,137,8,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu//10//10-1677424984.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-001,OGUCHIE PLAY GROUND,236,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,85,141,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/1/2/1-1677400343.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-002,AGALEGU PRIMARY SCHOOL,240,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,50,165,8,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/2/2/2-1677407532.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-003,UBURU PRIMARY SCHOOL,186,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,162,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/3/2/3-1677403971.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-004,NDIUDARA/ NDIOFUTU VILL. SQUARE,206,600,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,58,128,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/4/2/4-1677402846.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-005,IZILOKWO MKT SQUARE,252,775,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,14,211,19,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/5/2/5-1677403772.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-006,NDIUGBALA VILL. SQUARE,171,432,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,128,20,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/6/2/6-1677426916.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-007,NDINGWUTA PRI. SCHOOL,317,933,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,23,276,6,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/7/2/7-1677402719.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-008,NDIOCHIOBUOKU PRI. SCHOOL,108,567,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,18,68,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/8/2/8-1677405359.pdf
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-009,EGWUDINEGU PRI. SCHOOL,313,922,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,30,252,10,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/2/9/2/9-1677402232.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-001,IJAGA PLAY GROUND,132,578,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,123,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/1/3/1-1677415037.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-002,OHABELE PLAY GROUND,170,631,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,166,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19961/pu/32305/32305-1677591894.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-003,OKARIA MKT SQUARE,187,892,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,177,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/3/3/3-1677408162.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-004,ONYIKWA VILL. SQUARE,127,524,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,119,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19961/pu/32307/32307-1677591322.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-005,OBEAGU IBOM VILLAGE SQUARE,187,839,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,183,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19961/pu/32308/32308-1677503884.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-006,AKPE PRIMARY SCHOOL,217,947,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,63,136,3,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/6/3/6-1677428225.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-007,OFIAOKU PLAY GROUND,228,848,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,198,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/7/3/7-1677424948.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-008,ONYIRIGBO PRIMARY SCHOOL,237,887,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,229,6,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/8/3/8-1677425455.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-009,ETE VILLAGE SQUARE,200,516,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,179,2,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/3/9/3/9-1677417360.pdf
EBONYI,ABAKALIKI,AMACHI (NDEGU),11-01-03-010,AKPANYA VILLAGE SQUARE,168,530,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,163,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19961/pu/32313/32313-1677675744.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-001,EBIA UNUHU PRIMARY SCHOOL,174,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,164,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/4/1/4/1-1677409701.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-002,NDIURUKWU PRIMARY SCHOOL,253,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,33,211,3,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/4/2/4/2-1677406866.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-003,NWOFIA ODO PLAY GROUND,205,721,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,179,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/4/3/4/3-1677416260.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-004,AZUAKPARA EBIA PLAY GROUND,289,985,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,16,255,5,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/4/4/4/4-1677423000.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-005,MBAMOKO EBIA MKT SQUARE,16,722,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,14,179,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/4/5/4/5-1677428793.pdf
