State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EDO,AKOKO EDO,IGARRA I,12-01-01-001,"UGBOGBO, OZEDI",236,788,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677365011.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-002,"UGBOGBO, BY CO-OPERATIVE STORE",213,597,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,118,55,32,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677362082.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-003,"UGBOGBO, KAJOLA ROAD",199,520,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,138,32,28,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677363019.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-004,"UGBOGBO NR.,  OMOKHIDE'S HOUSE",212,894,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,77,46,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677362936.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-005,"UGBOGBO, SECRETARIAT ROAD",189,642,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,49,82,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3327/ward/20130/pu/34073/34073-1677491859.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-007,"UGBOGBO, OFUNAMI MKT. SQUARE",182,571,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,84,47,41,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677363678.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-008,"UGBOGBO, OPPOSITE OGOGORO JUNCTION I",239,807,True,-1,FALSE,FALSE,TRUE,FALSE,UNKNOWN,90,104,37,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34066/result_152017_1677657680_thumb.jpg
EDO,AKOKO EDO,IGARRA I,12-01-01-009,"UGBOGBO, BY LAWANI'S HOUSE",287,925,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,90,81,112,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677363380.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-011,"UGBOGBO, NEAR ASHIPA'S COMP.",336,930,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,120,154,40,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677368892.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-012,"UGBOGBO, NEAR LAREMOH'S COMP.",133,533,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,53,49,30,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/012/012-1677363111.pdf
EDO,AKOKO EDO,IGARRA II,12-01-02-004,UTUA NR. GADIMOH'S HOUSE,175,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,73,41,76,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34075/result_152030_1677756771_thumb.jpg
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-001,"LAMPESE, LAMPESE MKT. SQ.",192,737,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,78,101,9,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677406145.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-002,"LAMPESE, UKILEKPE P.S.",156,582,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,31,115,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677423762.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-003,"LAMPESE,  AFORO QRTS. I",129,717,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34088/result_152057_1677749765_thumb.jpg
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-004,"LAMPESE,  AFORO QTRS II",207,889,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,39,118,45,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677417077.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-005,"LAMPESE, UKE P/S.",187,769,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677413860.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-006,"LAMPESE, BY OLORIEGBE COMP.",197,760,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,67,100,21,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677422302.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-007,"ELEKPI, BY CHIEF OKONDON",118,554,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,30,60,25,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677421079.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-008,"IMOGA, UMAR P/S",188,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,19,87,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/008/008-1677407508.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-009,"IMOGA,  LEPPER SETTLEMENT",130,457,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,58,12,49,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/009/009-1677425951.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-010,"IMOGA, IMOGA PRIMARY SCHOOL",244,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,142,23,75,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/010/010-1677424688.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-011,"IMOGA,  BY CHIEF OBANILU'S COMP.",195,821,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,136,2,56,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/011/011-1677423524.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-012,"EKPE, KEKPUME P.S",295,793,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,73,164,53,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/012/012-1677408433.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-013,"EKPE, BY DISPENSARY",274,824,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,90,126,57,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/013/013-1677419639.pdf
EDO,AKOKO EDO,IMOGA/ LAMPESE/ BEKUMA/ EKPE,12-01-03-014,"EKPE,  AHOR P/S.",113,622,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,12,48,48,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/014/014-1677412918.pdf
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-001,"IBILLO, OJAH P/S.",253,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,140,73,33,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/001/001-1677414078.pdf
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-002,"IBILLO, IBILLO P/S.",272,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,150,60,62,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3327/ward/20133/pu/34111/34111-1677836880.pdf
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-003,"IBILLO, BY CHIEF OMOLOJU'S HS",163,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,103,19,38,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/003/003-1677414243.pdf
