State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-001,"IN FRONT OF UDE'S HOUSE / OGBON IGBARA , IDOFIN ST.",199,715,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677423051.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-002,"A. U. D. PRY. SCH. / IRO ST. , ODE ONA",133,373,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677420401.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-003,A. U. D. PRY. SCH. / ODO IMOBUN,132,524,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20322/pu/36698/36698-1677477598.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-005,IN FRONT OF FATHER BLESSING 'S HOUSE / AGRIC. ELEJOKA'S COMP.,229,893,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,161,19,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677416986.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-007,"ST. PATRICK PRY. SCH. MATTHEW ST. / ILARO, MATHEW",193,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,131,14,40,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677410287.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-008,IN FRONT OF ODOFIN'S HOUSE / ODOFIN COMP.,219,987,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,153,11,50,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/008/008-1677414059.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-009,IN FRONT OF EGBEDI'S HOUSE / EGBEDI'S COMP.,171,544,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,102,11,49,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677425360.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-010,IN FRONT OF FAEJI'S HOUSE / FAEJI'S COMP.,193,829,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,133,19,27,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677423287.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-011,IN FRONT OF PA JEGEDE'S HOUSE / CHIEF EMILA'S COMP.,139,543,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,85,6,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677417062.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-001,"IN FRONT OF OISA FAMILY'S HOUSE / OISA , OKE INISA COMP.",234,666,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,7,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36707/36707-1677749279.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-002,IN FRONT OF CHIEF ELEMO'S COMP. / ODO INISA/EMINIO COMP.,225,701,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,168,1,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36708/36708-1677503364.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-003,IN FRONT OF CHIEF ELEMO'S COMP. / ODO INISA/EMINIO COMP.,225,701,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,81,8,33,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36708/36708-1677503364.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-004,"AT ODO ADO MARKET AREA / ODO ADO MARKET , IYERE",205,701,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,134,13,35,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677413779.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-005,IN FRONT OF ASAMO'S COMPOUND / ISAO ISAMO COMPOUND,162,469,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,116,5,35,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36711/36711-1677515837.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-006,"AROUND ORIMOLADE / EJEMU'S HOUSE, EJELU ILEGEMO COMP.",169,703,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,113,9,43,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677409435.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-007,IN FRONT OF AREMO'S PALACE / IREMO AREA,206,655,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,5,32,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36713/36713-1677516093.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-008,AT ODO ADO GRAMMAR SCH. / ADO GRAMMAR SCH.,445,1706,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,259,78,70,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36714/36714-1677516292.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-009,ST. PAULS ANG. PRY. SCH. / OWODE,235,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,165,21,40,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36715/36715-1677516587.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-010,"OLD YARWER COMP. / ADESOKAN , IGIRIGIRI RD.",284,914,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,166,9,90,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36716/36716-1677486491.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-011,AT THE BACK OF ODO ADO DISPENSARY / OLORUNSOGO AYINSOLA COMP.,237,786,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,160,21,46,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/011/011-1677427534.pdf
EKITI,ADO EKITI,ADO 'B'  INISA,13-01-02-012,ST. PAULS ANG. PRY. SCH. / OWODE COMP.,172,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,119,11,36,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20323/pu/36718/36718-1677509420.pdf
EKITI,ADO EKITI,ADO 'C'  IDOLOFIN,13-01-03-001,IN FRONT OF OLOWOYO'S HOUSE / OLOWOYO COMP.,248,956,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,185,6,41,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677416245.pdf
