State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ANINRI,ODUMA I,14-01-01-001,COMM. SCH. ODUMA ACHARA,144,844,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,121,13,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38881/result_156529_1677492593_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-004,MMAFU COMM. SCHOOL,85,1183,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,78,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38884/result_156532_1677493555_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-005,OBODO UKWU VILLAGE SQUARE,52,384,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,50,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38885/result_156533_1677494020_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-006,COMMUNITY SCHOOL UKETE,116,917,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,97,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38886/result_156534_1677493896_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-007,AMANKANU VILLAGE SQUARE,28,253,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,21,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38887/result_156535_1677494179_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-008,COMM. PRIMARY SCHOOL AMORJI ANI,135,669,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,128,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38888/result_156536_1677494326_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-009,AMORJI ENU VILLAGE SQUARE,64,383,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,58,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38889/result_156537_1677494462_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-010,COMM. SCH. ODUMA ACHALA,30,185,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,29,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38890/result_156538_1677494642_thumb.jpg
ENUGU,ANINRI,ODUMA I,14-01-01-011,OLOVOLO  VILLAGE SQUARE,42,540,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,37,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38891/result_156539_1677495165_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-001,COMM. SCHOOL OBEAGU ODUMA,134,1087,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,134,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38892/result_156542_1677525718_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-003,"LIBERTY SCHOOL, OBEAGU ODUMA",80,703,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,82,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38893/result_156543_1677579872_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-004,OBODO OKPOKO  VILLAGE SQUARE,105,673,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,100,2,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38895/result_156545_1677526096_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-005,"OBODO OGBUNTA   VILLAGE SQUARE,",140,707,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,136,1,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38896/result_156546_1677526175_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-006,"OBODO  AKPAM  SQUARE, UHUAGU",44,386,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,39,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38897/result_156547_1677526253_thumb.jpg
ENUGU,ANINRI,ODUMA II,14-01-02-007,AMOKWE COMM. SCHO. UHUEGBOKE,148,988,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,137,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/38898/result_156548_1677526335_thumb.jpg
