State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
FCT,ABAJI,ABAJI CENTRAL,37-01-01-001,UNG. MAIKANO/KOFAR MAI UNGUWA I,191,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,112,12,65,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41840/result_96333_1677584433_thumb.jpg
FCT,ABAJI,ABAJI CENTRAL,37-01-01-002,UNG. MANKO/KOFAR UNGUWAR MANKO I,296,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,216,6,66,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41841/result_96334_1677585128_thumb.jpg
FCT,ABAJI,ABAJI CENTRAL,37-01-01-003,UNG. LIMAN/KOFAR UNGUWAR LIMAN I,271,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,184,10,70,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41842/result_96335_1677584056_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-001,ISAH M. GANI/OLD ONA PALACE I,212,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,148,6,48,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41843/result_96342_1677587323_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-002,UNG. NUPAWA/MATERNITY CENTRE I,260,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,138,11,103,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41844/result_96343_1677585420_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-003,UNG. ANYURA / GIDAN ANYURA I,190,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,84,17,68,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41845/result_96344_1677586544_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-004,UNG. ANYURA / GIDAN ANYURA I,190,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,160,28,33,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41845/result_96344_1677586544_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-005,UNG. MALLAM MANSUR I,323,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,247,13,54,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41847/result_96346_1677587820_thumb.jpg
FCT,ABAJI,ABAJI NORTH EAST,37-01-02-006,ABAJI NE / CENTRAL PRY. SCHOOL I,391,1378,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,190,113,75,8,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41848/result_96347_1677586004_thumb.jpg
FCT,ABAJI,ABAJI SOUTH EAST,37-01-03-001,OLD ONAS PALACE  /  OLD ONAS PALACE I,214,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,143,15,45,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41849/result_96362_1677577720_thumb.jpg
FCT,ABAJI,ABAJI SOUTH EAST,37-01-03-002,OLD ONAS PALACE  /  OLD ONAS PALACE I,214,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,112,7,98,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41849/result_96362_1677577720_thumb.jpg
FCT,ABAJI,ABAJI SOUTH EAST,37-01-03-003,A.U SULEMAN  /  UNG.A.U. SULEMAN I,248,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,116,21,88,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41851/result_96364_1677578843_thumb.jpg
FCT,ABAJI,ABAJI SOUTH EAST,37-01-03-004,UNG. S.SAMARI/UNG. S. SAMARI I,228,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,102,8,67,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41852/result_96365_1677579056_thumb.jpg
FCT,ABAJI,AGYANA/PANDAGI,37-01-04-001,AGYANA  /  AGYANA PRIMARY SCHOOL I,231,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,111,18,92,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41853/result_96372_1677590424_thumb.jpg
