State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
GOMBE,AKKO,AKKO,15-01-01-001,"LAFIYAWO,  KOFAR JAURO",218,622,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,52,8,142,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42493/42493-1677467744.pdf
GOMBE,AKKO,AKKO,15-01-01-002,"MARORI / WUI-WUI, KOFAR JAURO",166,547,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,59,1,90,10,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42494/42494-1677468066.pdf
GOMBE,AKKO,AKKO,15-01-01-003,"AKKO, AKKO PRI. SCH.",351,707,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,97,1,212,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42495/42495-1677468309.pdf
GOMBE,AKKO,AKKO,15-01-01-004,"S/YAKI/J. HAMMA, AKKO PRI. SCH.",209,462,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,70,0,137,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42496/42496-1677468582.pdf
GOMBE,AKKO,AKKO,15-01-01-007,"JALINGO, KOFAR JAURO",231,372,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,60,1,147,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42499/42499-1677469380.pdf
GOMBE,AKKO,AKKO,15-01-01-008,"KOMBANI, KOFAR JAURO",256,529,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,69,0,163,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42500/42500-1677467059.pdf
GOMBE,AKKO,AKKO,15-01-01-009,"DUNAMARI -  BOGGAGEL, LAWANTI PRI. SCH.",216,465,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,20,0,181,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42501/42501-1677469749.pdf
GOMBE,AKKO,AKKO,15-01-01-010,"JALINGO / AKKO, K. S. LAWANTI",100,438,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,24,0,71,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42502/42502-1677469990.pdf
GOMBE,AKKO,AKKO,15-01-01-011,"DOLLI JILIM - DOLLI KUTURE,  DOLLI PRI. SCH.",198,549,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,68,0,86,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42503/42503-1677470232.pdf
GOMBE,AKKO,AKKO,15-01-01-012,"DON DORIYA - DOLLI NGALDA, DOLLI PRI. SCH.",323,745,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,87,0,227,6,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42504/42504-1677470607.pdf
GOMBE,AKKO,AKKO,15-01-01-014,"WURO DOLE - MUNDA, WURO DOLE PRI. SCH.",227,568,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,91,3,96,6,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42506/42506-1677471134.pdf
GOMBE,AKKO,AKKO,15-01-01-015,"LAWO DODDO - FESHARE, KOFAR JAURO",166,297,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,122,0,38,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42507/42507-1677471323.pdf
GOMBE,AKKO,AKKO,15-01-01-016,"BULA KYARI, KOFAR S. BULA",289,791,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,81,1,185,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42508/42508-1677471615.pdf
GOMBE,AKKO,AKKO,15-01-01-017,"LAMIDO BAGAJI, BULA PRI. SCH.",218,415,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/017/017-1677358761.pdf
GOMBE,AKKO,AKKO,15-01-01-018,"JAN GERAWO - G.J. SHEHU, K. J. SHEHU",192,346,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,34,1,143,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42510/42510-1677472360.pdf
GOMBE,AKKO,AKKO,15-01-01-019,"GUDDE SAKI, KOFAR JAURO",192,389,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,54,0,135,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42511/42511-1677472580.pdf
GOMBE,AKKO,AKKO,15-01-01-020,"YOLDE JANI / KUYUNTU, JAMJI  KOFAR JAURO",68,350,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,19,0,45,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42512/42512-1677475242.pdf
GOMBE,AKKO,AKKO,15-01-01-021,"JAMJI, J. JAMJI",199,384,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,97,0,98,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42513/42513-1677475505.pdf
GOMBE,AKKO,AKKO,15-01-01-022,"BULA - BULA, KOFAR J.",148,318,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,26,0,103,6,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42514/42514-1677475734.pdf
GOMBE,AKKO,AKKO,15-01-01-023,TUDU WADA - K/JAURO UBAN-DOMA,180,342,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,33,0,137,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42515/42515-1677476008.pdf
GOMBE,AKKO,AKKO,15-01-01-025,"DAGARAWO - MARKE,  DAGARAWO PRI. SCH.",230,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,125,0,87,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42517/42517-1677483839.pdf
GOMBE,AKKO,AKKO,15-01-01-026,"JAURO HAMMA, K.J. JUNGUDO",232,505,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,79,0,134,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42518/42518-1677484048.pdf
GOMBE,AKKO,AKKO,15-01-01-027,"JAURO HAMMA, K.J. JUNGUDO",232,505,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,19,0,128,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42518/42518-1677484048.pdf
GOMBE,AKKO,AKKO,15-01-01-028,"WURO BOGGA, AKKO MATERNITY",250,474,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,56,0,152,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42520/42520-1677485521.pdf
GOMBE,AKKO,AKKO,15-01-01-029,"WURO BOGGA, AKKO MATERNITY",250,474,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,54,0,51,11,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3384/ward/20821/pu/42520/42520-1677485521.pdf
