State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-001,ALADINMA UMUELEM HALL,175,905,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,9,40,100,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677390448.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-002,OKWUAKU HALL,243,852,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,230,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677391669.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-003,UMUNKWO VILLAGE HALL,183,704,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,158,20,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677388120.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-004,IBEKU HALL,153,646,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,4,112,22,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677385959.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-006,EZIALA HALL,209,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,176,22,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677397308.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-007,COMMUNITY SCHOOL UMUGARAGU,203,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,180,20,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677383673.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-009,UMUEZIUKWU VILLAGE HALL,177,549,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,151,22,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677389409.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-010,ORIE UMUEZE HALL,219,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,6,202,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677383308.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-011,COMMUNITY SCHOOL OBOAMA,208,828,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,173,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677387832.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-012,AMA-IYALA HALL,209,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,182,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/012/012-1677391773.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-014,ANOKAM HALL,199,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,150,38,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/014/014-1677382513.pdf
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-016,UMUOYE HALL,243,922,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,182,41,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/016/016-1677386780.pdf
