State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
JIGAWA,AUYO,AUYO,17-01-01-001,AUYO SPECIAL PRI. SCH. AUYO KUKA,460,2446,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48141/result_106503_1677515260_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-003,AUYO BAYI,293,755,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,1,113,90,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48143/result_106505_1677509621_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-004,KOFAR AMADU AUYO KIRA,372,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,96,0,186,67,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48144/result_106506_1677509838_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-005,AUYO GABAS PRI. SCH. AUYO GABAS,308,851,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,112,1,103,81,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48145/result_106507_1677509932_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-006,"AUYO DISPENSARY, AUYO DISPENSARY",187,641,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,49,0,75,45,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48146/result_106508_1677510084_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-007,"JAMAAR AIKALI MAIBAURE, MAI BAURE",255,629,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,0,89,32,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48147/result_106509_1677510311_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-008,"KAZIYETA K. FADA, KAZIYETA",175,453,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,110,0,56,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48148/result_106510_1677593338_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-009,"TSURUTAWA, TSURUTAWA",99,321,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,54,0,33,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48149/result_106511_1677594386_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-010,HADIYO PRI. SCH HADIYO,378,826,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,180,0,185,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48150/result_106512_1677510781_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-011,MAKERAYI VILLAGE,278,522,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,226,0,99,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48151/result_106513_1677653809_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-012,"GIDAN DALLAH PRI. SCH., GIDAN DALLAH",384,765,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,178,0,179,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48152/result_106514_1677511057_thumb.jpg
JIGAWA,AUYO,AUYO,17-01-01-013,ZABARO PRI. SCH. ZABARO,553,1137,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,290,0,227,17,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48153/result_106515_1677511290_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-001,"AUYAKAYI PRI. SCH, AUYAKAYI",301,900,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,0,105,9,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48154/result_106527_1677600928_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-002,KUDIGIN PRI. SCH. KUDIGIN,512,952,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,358,0,92,47,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48155/result_106528_1677596261_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-003,"AKUBUSHIN PRI. SCH., AKUBISHIN",488,920,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,262,0,203,7,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48156/result_106529_1677598173_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-004,"RIGAR MAAJI K.FADA, RIGAR NA'AJI",201,334,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,104,0,56,16,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48157/result_106530_1677598621_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-005,"SHAWARA PRI. SCH, SHAWARA",288,418,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,167,0,104,7,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48158/result_106531_1677598872_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-006,"CHIROMAWA PRI. SCH., CHIROMAWA",209,393,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,92,0,111,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48159/result_106532_1677599257_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-007,"KARSHA DUNKUN K.FADA, KARSHA DUNKUN",201,449,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,141,0,40,16,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48160/result_106533_1677599120_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-008,"MATAKUWA K. FADA, AYATAKUWA",267,793,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,152,0,82,23,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48161/result_106534_1677599246_thumb.jpg
JIGAWA,AUYO,AUYAKAYI,17-01-02-009,"MARAKAWA FADA, MARAKAWA VILLAGE",268,381,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,121,0,75,10,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48162/result_106535_1677600034_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-001,AYAMA PRI. SCH. AYAMA I,398,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,212,1,0,32,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48163/result_106539_1677600098.jpg
JIGAWA,AUYO,AYAMA,17-01-03-002,AYAMA PRI. SCH. AYAMA II,466,958,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,292,1,130,26,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48164/result_106540_1677600442_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-003,ANAUYA K. FADA ANUAYA,371,669,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,225,0,109,9,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48165/result_106541_1677601452_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-004,"KIGIN PRI. SCH., KIGIN",369,644,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,198,0,151,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48166/result_106542_1677602232_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-005,UZA PRI. SCH. UZA,494,821,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,234,1,205,25,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48167/result_106543_1677602571_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-006,SAFA PRI. SCH. SAFA BABBA,429,824,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,296,0,118,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48168/result_106544_1677603126_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-007,"SAFA PRY SCH, SAFA KARFI",323,631,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,181,0,130,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48169/result_106545_1677603565_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-008,SHAMARMA PRI. SCH. SHAMARMA,342,900,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,211,0,98,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48170/result_106546_1677604156.jpg
JIGAWA,AUYO,AYAMA,17-01-03-009,GIDAN BAKWARE K. FADA GIDAN BAKWARE,145,324,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,81,0,59,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48171/result_106547_1677612530_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-010,ASUDUWA K. FADA ASUDUWA,253,407,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,152,0,61,28,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48172/result_106548_1677612932_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-011,MAGARYA K. FADA MAGARYA,328,633,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,223,0,73,13,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48173/result_106549_1677613102_thumb.jpg
JIGAWA,AUYO,AYAMA,17-01-03-012,"DOGARA VILLAGE, DOGARA",152,294,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,110,0,41,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48174/result_106550_1677613292_thumb.jpg
JIGAWA,AUYO,AYAN,17-01-04-001,AYAN PRI. SCH AYAN,245,759,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,124,0,115,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48175/result_106555_1677599882_thumb.jpg
JIGAWA,AUYO,AYAN,17-01-04-002,"GASTIFI K. FADA , GASTIFI VILLAGE",218,477,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,103,0,105,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48176/result_106556_1677600072_thumb.jpg
JIGAWA,AUYO,AYAN,17-01-04-003,DAWAYA K. FADA DAWAYA/MAINARI,244,463,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,105,0,93,40,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48177/result_106557_1677600626_thumb.jpg
JIGAWA,AUYO,AYAN,17-01-04-004,ATURA K. FADA ATURA JAMAAR AYAN,212,391,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,130,0,79,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48178/result_106558_1677601250_thumb.jpg
JIGAWA,AUYO,AYAN,17-01-04-005,KATAUDI PRI. SCH. KATAUDI 'A',279,478,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,168,0,90,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48179/result_106559_1677602079_thumb.jpg
