State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-002,PRY. SCH. SHITU,253,770,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,147,2,83,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51671/result_111026_1677763964_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-003,AREA COURT,238,684,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,122,0,94,18,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51672/result_111027_1677765367_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-004,COMMUNITY SCHOOL,294,853,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,165,1,82,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51673/result_111028_1677765632_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-006,MAIGWARI PRY. SCH.,318,783,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,150,7,114,47,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51675/result_111030_1677766531_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-007,LIBRARY OFFICE,282,827,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,141,10,92,16,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51676/result_111031_1677766717_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-008,PRY.SCH.UNG.LIMAN,272,676,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,165,1,82,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51677/result_111032_1677766016_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-009,UNG ALI GADO,262,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,149,0,95,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51678/result_111033_1677766921_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-010,LEPROSY CLINIC,326,981,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,195,0,111,18,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51679/result_111034_1677767067_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-011,G.S.S. B/GWARI,246,870,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,158,2,76,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51680/result_111035_1677767171_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-012,B.A.T.C. B/GWARI,282,686,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,132,7,94,27,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51681/result_111036_1677767332_thumb.jpg
