State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KANO,AJINGI,AJINGI,19-01-01-003,"KUMAWA BORI, NEAR, W/H HOUSE",194,578,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56864/56864-1677526835.pdf
KANO,AJINGI,AJINGI,19-01-01-004,"MALIKAWA/ZARAWA, AJINGI YAMMA PS I",306,829,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,78,0,11,197,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56865/56865-1677527029.pdf
KANO,AJINGI,AJINGI,19-01-01-006,"MARAYAR SOBA, GIDAN MALAM",114,300,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,2,3,50,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56867/56867-1677527718.pdf
KANO,AJINGI,AJINGI,19-01-01-007,"S/G/MALIKAWA, AJINGI YAMMA PS I",215,529,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,55,0,9,135,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56868/56868-1677527852.pdf
KANO,AJINGI,AJINGI,19-01-01-008,"S/G/MALIKAWA, AJINGI YAMMA PS II",156,545,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,38,1,8,89,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56869/56869-1677528160.pdf
KANO,AJINGI,AJINGI,19-01-01-009,"S/G DUGWAL , AJINGI YAMMA PS I",146,487,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,65,3,3,71,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56870/56870-1677581626.pdf
KANO,AJINGI,AJINGI,19-01-01-010,"S/G DUGWAL , AJINGI YAMMA PS II",168,410,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,29,0,11,123,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56871/56871-1677608605.pdf
KANO,AJINGI,AJINGI,19-01-01-011,"S/G SAKALAWA, AJINGI YAMMA PS III",161,314,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,38,0,4,116,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56872/56872-1677528546.pdf
KANO,AJINGI,AJINGI,19-01-01-012,SAGALAWA C/GARI SAGALAWA P.S.,233,655,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,66,0,17,131,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56873/56873-1677532489.pdf
KANO,AJINGI,AJINGI,19-01-01-013,"UNG/AREWA, AJINGI LIBRARY I",183,474,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,52,1,4,110,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56874/56874-1677532599.pdf
KANO,AJINGI,AJINGI,19-01-01-014,"UNG/AREWA, AJINGI LIBRARY II",299,1019,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,89,3,8,187,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56875/56875-1677532742.pdf
KANO,AJINGI,AJINGI,19-01-01-015,"UNG/AREWA, AJINGI LIBRARY III",336,1051,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,94,5,2,222,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56876/56876-1677532880.pdf
KANO,AJINGI,AJINGI,19-01-01-016,"UNG/KUDU, AJINGI SP. S I",277,767,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,111,3,14,143,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56877/56877-1677533042.pdf
KANO,AJINGI,AJINGI,19-01-01-017,"UNG/KUDU, AJINGI SP. S II",143,552,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,54,0,3,73,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56878/56878-1677533159.pdf
KANO,AJINGI,AJINGI,19-01-01-018,"UNG/KUDU, AJINGI SP. S III",277,658,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56879/56879-1677581953.pdf
KANO,AJINGI,AJINGI,19-01-01-019,"UNG BORI, AJINGI DISPERSARY I",206,818,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,64,6,11,199,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56880/56880-1677533292.pdf
KANO,AJINGI,AJINGI,19-01-01-020,"UNG BORI, AJINGI DISPERSARY II",226,577,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56881/56881-1677533427.pdf
KANO,AJINGI,CHULA,19-01-03-001,CHULA CIKIN GARI PRI SCH I,157,664,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,37,0,5,107,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56895/56895-1677607640.pdf
KANO,AJINGI,CHULA,19-01-03-002,CHULA CIKIN GARI PRI SCH II,198,597,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,48,3,14,95,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56896/56896-1677522718.pdf
KANO,AJINGI,CHULA,19-01-03-003,CHULA CIKIN GARI PRI SCH III,19,674,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56897/56897-1677523537.pdf
KANO,AJINGI,CHULA,19-01-03-006,"DADDAWA/JIGAWA, NEAR KANKARE",60,598,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,54,1,8,116,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56900/56900-1677526734.pdf
KANO,AJINGI,CHULA,19-01-03-007,"GURJI, NEAR W/H-HOUSE",128,348,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,26,1,14,71,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56901/56901-1677527406.pdf
KANO,AJINGI,CHULA,19-01-03-008,"GUZAWA/YAUTAWA,GUZAWA PS",94,479,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,37,2,9,33,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56902/56902-1677528446.pdf
KANO,AJINGI,CHULA,19-01-03-009,"KAWARI CIKIN GARI, KAWARI PRI SCH I",120,591,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,36,0,4,73,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56903/56903-1677529015.pdf
KANO,AJINGI,CHULA,19-01-03-010,"KAWARI CIKIN GARI, KAWARI PRI SCH. II",150,442,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,56,2,16,63,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56904/56904-1677549363.pdf
KANO,AJINGI,CHULA,19-01-03-011,"KERA, KERA DISPENSARY",107,316,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,6,13,54,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56905/56905-1677549738.pdf
KANO,AJINGI,CHULA,19-01-03-012,"SABARU J/DALI, J/DALI PS",142,555,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,43,2,11,73,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56906/56906-1677550043.pdf
KANO,AJINGI,CHULA,19-01-03-013,"YANKINTA J/BANAGO, YANKINTA PS",178,534,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,56,0,4,108,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21784/pu/56907/56907-1677550394.pdf
KANO,AJINGI,DABIN KANAWA,19-01-04-003,"FAGAWA GALADIMA, F/G. P.S. II",148,496,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,47,0,14,72,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21785/pu/56910/56910-1677605930.pdf
KANO,AJINGI,DABIN KANAWA,19-01-04-005,"FAGAWA KAWARI, F/KAWARI PS.",175,570,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,58,2,10,37,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21785/pu/56912/56912-1677605217.pdf
KANO,AJINGI,DUNDUN,19-01-05-001,"DUGWAL, NEAR W/H/HOUSE",18,180,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,0,0,12,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56828/result_119100_1677572934_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-002,"DUNDUN C/GARI, DUNDUN P.S I",208,770,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,1,8,151,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56829/result_119101_1677573025_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-003,"DUNDUN C/GARI, DUNDUN P.S II",175,614,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,27,0,14,124,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56830/result_119102_1677573193_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-004,"DUNDUN C/GARI, DUNDUN P.S III",158,524,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,25,3,11,99,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56831/result_119103_1677573283_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-005,"KASKO, NEAR W/H HOUSE",95,278,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,2,12,73,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56832/result_119104_1677573444_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-006,"MAIGANA, MAIGANA P.S.",255,748,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,117,1,1,126,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56833/result_119105_1677573566_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-007,"MAKA, NEAR TSAMIYA",82,249,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,16,3,10,35,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56834/result_119106_1677572832_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-008,"SABON GARIN DUNDUN, NEAR WAKILI HOUSE I",129,492,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,23,2,5,87,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56835/result_119107_1677573700_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-009,"SABON GARIN DUNDUN, NEAR WAKILI HOUSE II",176,518,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,37,2,14,105,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56836/result_119108_1677573797_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-010,"SABON GARIN MUMUNIYAL, MUMUNIYAL P.S.",72,239,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,1,16,42,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56837/result_119109_1677572157_thumb.jpg
KANO,AJINGI,DUNDUN,19-01-05-011,UNBUNUSHI/YAMMA/GABAS  PRI SCH. (GABAS),170,517,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,45,0,15,62,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56838/result_119110_1677571871_thumb.jpg
