State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KATSINA,BAKORI,BAKORI A,20-01-01-001,BAKORI GARI 1 - NADABO PRI.SCH.,260,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64846/result_130259_1677617518_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-004,BAKORI GARI IV - MASALLACIN IZALA,314,918,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,95,0,139,38,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64849/result_130262_1677618027_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-005,UNG TOFA I - K/G SARKIN FAWA,373,911,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,140,0,144,82,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64850/result_130263_1677608037_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-006,UNG TOFA I - K/G SARKIN FAWA,373,911,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,111,0,198,69,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64850/result_130263_1677608037_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-007,UNG TOFA III - K/G MAI FULANI,305,694,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,80,0,161,47,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64852/result_130265_1677569545_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-008,UNG TOFA IV - OLD MARKET,295,884,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,87,0,116,34,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64853/result_130266_1677506730_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-009,BURI NADABO - K/G. MAL. YAHUZA,220,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,77,0,98,19,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64854/result_130267_1677571786_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-010,RAFIN SARKIN ZANGO I - DUTSEN ZANZARYA,182,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,35,0,94,28,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64855/result_130268_1677572118_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-011,RAFIN SARKIN ZANGO II K/G ALH.LAWAL RUMAWA,159,776,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,1,103,10,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64856/result_130269_1677572369_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-012,TASHAR GUGA 1 - L.E.A T/GUGA,238,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,61,0,121,40,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64857/result_130270_1677572637_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-013,TASHAR GUGA II L.E.A.T/GUGA,338,969,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,67,0,191,58,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64858/result_130271_1677599284_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-002,ZAGE-ZAGI - VETINERY,281,650,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64861/result_130288_1677606256_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-003,BAKORI GARI 1 - DISPENSARY,260,871,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,87,0,120,28,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64862/result_130289_1677613633_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-004,BAKORI GARI II - NEAR DISTRICT H.OFFICE,268,962,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,79,0,117,34,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64863/result_130290_1677608934_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-006,BAKORI GARI III - F.S.A. CLINIC,251,803,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64865/result_130292_1677608092_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-008,UNG. YARO - K/G MAI UNG.,243,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64866/result_130293_1677606018_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-009,ADAKO - K/G MAI UNG,99,670,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,41,0,50,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64868/result_130295_1677599171_thumb.jpg
