State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-003,OPEN SPACE OPP0SITE MDG FILIN JANGI (FILIN JANGI),277,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,34,1,216,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677398502.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-004,OPEN SPACE OPPOSTE DANKATSINA ROAD (KAURAR DUTSE I),230,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,14,2,208,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677398054.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-005,OPEN SPACE OPPOSITE IBR. ABBA ROAD (LEMI),284,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,75,0,204,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677397691.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-006,OPEN SPACE DANKATSI ROAD (KAURAR DUTSE II),345,1048,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,38,0,298,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677373283.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-002,OPEN SPACE OPPOSITE MOSQUE GANDA SAMU (GANDA SAMU),135,339,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,57,0,69,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22628/pu/70450/70450-1677452829.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-003,MODEL PRIMARY SCHOOL GOMOZON ALERAWA (GOMOZON ALERAWA),130,491,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,52,0,78,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677424328.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-004,MODEL PRIMARY SCHOOL KALI (KALI),367,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,118,1,234,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677425469.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-005,MODEL PRIMARY SCHOOL SADAM MAIJEGA (SADAM MAIJEGA),159,597,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,42,1,94,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677427907.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-006,MODEL PRIMARY SCHOOL SADAM SANDA (SADAM SANDA),278,481,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,117,0,158,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677426991.pdf
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-001,OPEN SPACE OPPOSITE MOSQUE FILIN BAI (FILIN BAI),304,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,20,0,244,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69760/result_136932_1677488457_thumb.jpg
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-002,OPEN SPACE ADADA ROAD MARINA I (MARINA I),291,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,16,0,273,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69761/result_136933_1677495038_thumb.jpg
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-003,COURT PREMISES MARINA II (MARINA II),265,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,37,1,219,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677376713.pdf
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-004,TRADITIONAL ORTHOPEDIC HOSPITAL SHAYA (SHAYA ),273,963,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,66,0,197,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677374314.pdf
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-006,OPEN SPACE OPPOSITE POLICE STATION TUDUN WADA (TUDUN WADA),608,1987,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,56,8,520,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69765/result_136937_1677491844_thumb.jpg
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-002,MODEL PRIMARY SCHOOL GUMBULU (GUMBULU),299,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,105,0,193,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22630/pu/70462/70462-1677491407.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-003,MODEL PRIMARY SCHOOL GUMBIN DARI (GUMBIN DARI),189,618,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,87,0,94,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/003/003-1677371893.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-004,MODEL PRIMARY SCHOOL GANGIJE (GANGIJE),182,466,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,104,1,77,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/004/004-1677364691.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-005,MODEL PRIMARY SCHOOL KAURAR SANI I (KAURAR SAINI I),396,1131,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,89,5,262,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22630/pu/70465/70465-1677491788.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-006,MODEL PRIMARY SCHOOL KAURAR SANI II (KAURAR SAINI II),246,1237,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,85,0,149,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/006/006-1677421817.pdf
KEBBI,ALIERO,DANWARAI,21-01-05-001,PRIMARY HEALTH CENTRE FADA (FADA),340,901,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,171,1,137,12,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22631/pu/70468/70468-1677599610.pdf
