State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KWARA,ASA,YOWERE/SOSOKI,23-01-01-002,ONIYEYE OPEN SPACE,220,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,106,0,109,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677389827.pdf
KWARA,ASA,YOWERE/SOSOKI,23-01-01-003,LAODU 1 OPEN SPACE,235,786,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,135,0,81,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677387846.pdf
KWARA,ASA,YOWERE/SOSOKI,23-01-01-004,IDI-OSE L.G.E.A SCH,250,876,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,116,0,99,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677389332.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-001,OJA-IYA L.G.E.A SCH,215,647,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,99,0,101,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677375218.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-002,AGBONA L.G.E.A SCH,215,600,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,108,0,82,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677378358.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-003,MEGIDA EDUNJO OPEN SPACE I,185,548,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,78,0,84,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677377586.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-004,MEGIDA EDUNJO OPEN SPACE II,153,407,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,80,0,70,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677380330.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-006,IGBOROKO L.G.E.A SCH,189,633,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677392296.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-007,BUDO TUNTUN OPEN SPACE,171,824,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,44,0,119,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677386065.pdf
KWARA,ASA,ONIRE/ODEGIWA/ALAPA,23-01-04-001,ALAPA L.G.E.A SCH,264,751,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,162,6,85,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/001/001-1677412839.pdf
