State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-001,RIJA SARKI,162,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,16,120,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677390986.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-002,GBUWHEN,119,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,18,87,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677364438.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-004,NGARE,148,494,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,119,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677370362.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-005,U/ZARIA I,223,956,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,103,35,65,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677361155.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-006,U/ZARIA II,224,896,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,98,31,64,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677369010.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-007,MANVEH I,215,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,174,16,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/007/007-1677390105.pdf
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-008,IKPON ST. BY HOUSE NO. 20,335,989,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,310,11,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/008/008-1677362420.pdf
NASARAWA,AKWANGA,AGYAGA,25-01-01-001,NINGA ,330,887,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,71,47,172,6,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677400485.pdf
NASARAWA,AKWANGA,AGYAGA,25-01-01-002,NINGA II,222,628,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,79,36,99,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677395141.pdf
NASARAWA,AKWANGA,AGYAGA,25-01-01-004,AGYAGA,256,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,68,65,111,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677394131.pdf
