State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NIGER,AGAIE,BARO,26-01-01-001,AKWANO,164,541,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,77,0,87,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86521/result_71029_1677763069_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-003,BARO II,148,429,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,95,0,37,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86523/result_71031_1677763466_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-004,BARO II,148,429,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,88,0,106,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86523/result_71031_1677763466_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-005,ESSUN,329,803,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,0,206,11,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86525/result_71033_1677763764_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-006,EVUNTAGI,281,531,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,175,0,95,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86526/result_71034_1677764051_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-007,KAKPI,294,796,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,130,7,155,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86527/result_71035_1677764243_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-008,KIBBAN,166,607,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,103,8,45,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86528/result_71036_1677764363_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-009,KOROKA KPASA,259,670,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86529/result_71037_1677764505_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-010,GUREGI,207,549,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,80,0,113,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86530/result_71038_1677764660_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-011,LAKAN-EKAGI,142,346,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,98,0,24,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86531/result_71039_1677764762_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-013,MAKWAGI,51,161,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,0,34,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86533/result_71041_1677765022_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-014,ZAGO,228,943,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,148,0,70,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86534/result_71042_1677765145_thumb.jpg
