State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-001,O.U.S PRY. SCHOOL IKEREKU I,64,607,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90795/90795-1677482042.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-002,O.U.S PRY. SCHOOL IKEREKU  II,137,775,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,40,3,7,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677422365.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-003,NEAR HOLY TRINITY CHURCH I,114,776,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,66,1,28,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677423632.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-004,NEAR HOLY TRINITY CHURCH II,94,635,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,58,2,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90798/90798-1677482766.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-005,NEAR ITA OGBONI IDOMAPA I,149,750,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,80,1,54,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90799/90799-1677485148.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-006,NEAR ITA OGBONI IDOMAPA II,163,885,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677386762.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-007,OJUDE AGBURIN,71,537,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,53,1,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90801/90801-1677482845.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-008,NEAR AROWOREHIN MOSQUE II,116,500,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,85,4,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90802/90802-1677482480.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-010,NEAR LASODE HOUSE I,120,646,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,76,12,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90804/90804-1677483345.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-011,NEAR LASODE HOUSE II,54,379,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,40,3,7,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90805/90805-1677485038.pdf
OGUN,ABEOKUTA NORTH,IKEREKU,27-01-01-012,OPEN SPACE CLOSE TO THE AJANAKU'S,63,260,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,22,7,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23950/pu/90806/90806-1677483104.pdf
OGUN,ABEOKUTA NORTH,IKIJA ,27-01-02-003,HOLY PROPHET ISALE OGUN  I,189,950,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677413954.pdf
OGUN,ABEOKUTA NORTH,IKIJA ,27-01-02-004,HOLY PROPHET ISALE OGUN  II,150,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,104,5,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677418566.pdf
OGUN,ABEOKUTA NORTH,IKIJA ,27-01-02-005,AHMADIYA PRY. SCHOOL,99,435,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,60,2,22,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677416701.pdf
OGUN,ABEOKUTA NORTH,IKIJA ,27-01-02-006,OPEN SPACE AT OSUNRINDE'S HOUSE I,193,820,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,113,6,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/006/006-1677415262.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-002,SPACE AT ITAMORIN  II,131,715,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,15,66,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677418595.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-003,SPACE AT KINOSHI HOUSE  I,120,579,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,64,1,49,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23952/pu/90816/90816-1677488467.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-004,SPACE AT KINOSHI HOUSE  II,101,591,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,53,1,41,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677419877.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-005,MUSLIM PRY. SCHOOL AGO-OKO  I,147,886,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,69,8,59,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677426742.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-006,MUSLIM PRY. SCHOOL AGO-OKO  II,144,786,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,59,0,59,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677426508.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-007,MUSLIM PRY. SCHOOL AGO-OKO  III,118,781,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,61,10,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677427527.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-008,ITA BALOGUN MOSQUE  I,65,616,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,45,2,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3666/ward/23952/pu/90821/90821-1677474659.pdf
OGUN,ABEOKUTA NORTH,AGO OKO,27-01-03-009,ITA BALOGUN MOSQUE  II,129,713,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,89,2,31,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/009/009-1677428165.pdf
