State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ONDO,AKOKO NORTH EAST,EDO,28-01-01-001,"ODE ELESHO/ODE OKELOKO, IN FRONT OF CH. ALAKELUS HOUSE",253,808,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,220,1,27,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92922/result_81021_1677765263_thumb.jpg
ONDO,AKOKO NORTH EAST,EDO,28-01-01-002,"ODEKE/AISA/ODE ASSI ALU, IN FRONT OF CHIEF ASSIS HOUSE",185,514,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,157,0,21,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677383667.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-003,ODEKE/AISA/ODE ASSI  ALU  OPEN SPACE NEAR CHIEF ASSIS HOUSE,142,319,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,109,0,28,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92924/result_81023_1677764150_thumb.jpg
ONDO,AKOKO NORTH EAST,EDO,28-01-01-004,ODE KOLOFIN/ODEAGBARI  IN FRONT OF CHIEF OLORUNS HOUSE,178,479,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,163,1,12,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/004/004-1677383168.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-007,ODEKE AISA/ODE ASSI ALU  OPP. ONIGBEDES HOUSE,254,621,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,218,1,31,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677391396.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-008,"ODELUKE, IN FRONT OF LATE CHIEF ODELUKES HOUSE",201,429,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,169,0,21,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/008/008-1677380676.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-009,"IYOFEN/ULAGBO/IPINOLA/OKUN/UGBIGBO, IN FRONT OF CHIEF FELES HOUSE",239,738,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,206,2,23,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92930/result_81029_1677765380_thumb.jpg
ONDO,AKOKO NORTH EAST,EDO,28-01-01-010,"ARAROMI, IN FRONT OF ATUNLUSES HOUSE",232,582,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,202,2,26,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677386262.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-011,ODE ODOSE  IN FRONT OF CHIEF ELEDOS HOUSE,136,377,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,116,2,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/011/011-1677382680.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-012,"OKEREO/ODOSE/ODE ATETI, IN FRONT OF CH. BADAS HOUSE",317,672,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,268,3,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/012/012-1677380060.pdf
ONDO,AKOKO NORTH EAST,EKAN,28-01-02-001,"ODIGBO/OLADIGBO,IN FRONT OF LATE CHIEF OLADIGBOS HOUSE",231,644,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,100,200,26,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92934/result_81033_1677581591_thumb.jpg
