State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,AFIJIO,ILORA I,30-01-01-003,BODE OPEN SPACE II,251,778,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,127,24,66,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA I,30-01-01-004,BODE OPEN SPACE II,251,778,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,138,12,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA II,30-01-02-001,AKINDELE OPEN SPACE I,167,471,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,104,8,43,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98950/result_84966_1677514561_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-002,AKINDELE OPEN SPACE II,209,603,True,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,110,18,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98951/result_84967_1677514644_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-003,AKINDELE OPEN SPACE II,209,603,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,132,11,59,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98951/result_84967_1677514644_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-004,BAPTIST GRAMMAR SCHOOL I,285,762,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,133,69,44,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-005,BAPTIST GRAMMAR SCHOOL I,285,762,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,113,51,73,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-006,BAPTIST GRAMMAR SCHOOL I,285,762,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-007,ELEKAARA MARKET O/SPACE,291,1046,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,49,45,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98956/result_84972_1677514784_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-009,MAFIKUYOMI OPEN SPACE I,225,647,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,121,30,39,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98958/result_84974_1677515092_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-010,MAFIKUYOMI OPEN SPACE I,225,647,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,134,27,39,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98958/result_84974_1677515092_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-011,ONIKOOKO OPEN SPACE,129,402,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,72,1,28,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98960/result_84976_1677512889_thumb.jpg
