State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-002,ST. MARKS PRIM. SCH. I,266,900,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,60,83,66,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105301/105301-1677533776.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-003,GANGARE,469,1319,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,60,83,66,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103730/result_92259_1677565070_thumb.jpg
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-004,GANGARE TASHA 1,330,966,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,261,62,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105303/105303-1677572375.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-012,KASHANGWOL,311,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,39,35,36,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105311/105311-1677565226.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-001,PWOMOL PRIM. SCHOOL,514,1140,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,72,370,52,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105336/105336-1677592482.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-002,BAN VILLAGE,291,750,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,11,221,30,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105337/105337-1677582449.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-003,DAN MANGU,331,674,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,16,269,39,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105338/105338-1677582099.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-005,TAGBAM I,444,1174,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,397,29,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105340/105340-1677593176.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-006,TAGBAM II,318,621,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,19,270,19,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105341/105341-1677581468.pdf
PLATEAU,BARIKIN LADI,HEIPANG,31-01-04-007,KABONG,416,1079,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,42,354,9,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25089/pu/105342/105342-1677580936.pdf
