State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
SOKOTO,BINJI,INNAME,33-01-01-002,GURUZA /SAMAMA,261,748,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,116,0,138,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110801/result_54203_1677577724_thumb.jpg
SOKOTO,BINJI,SAMAMA,33-01-02-001,SAMAMA MARINA,244,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,114,0,107,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110806/result_54209_1677587748_thumb.jpg
SOKOTO,BINJI,BINJI,33-01-03-002,BAJAGAWA,303,557,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,91,0,176,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3807/ward/25599/pu/111910/111910-1677754348.pdf
SOKOTO,BODINGA,BAGARAWA,33-02-02-003,"PRY SCH, R/YARDE",0,790,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,57,0,203,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110892/result_54312_1677667480_thumb.jpg
SOKOTO,BODINGA,DINGYADI/BADAWA,33-02-06-015,"DANFILI,RUNJI AUDU",189,532,True,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,117,0,69,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110963/result_54391_1677665568_thumb.jpg
SOKOTO,BODINGA,TULLUWA/KULAFASA,33-02-07-003,"SHIYAR KAKIMI, RUGGAR JATAU I",163,331,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,80,0,78,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110966/result_54394_1677663326_thumb.jpg
SOKOTO,BODINGA,TULLUWA/KULAFASA,33-02-07-004,"SHIYAR KAKIMI, RUGGAR JATAU II",150,286,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,89,0,59,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110967/result_54395_1677663517_thumb.jpg
SOKOTO,BODINGA,TULLUWA/KULAFASA,33-02-07-017,"PRY SCH, TULLUWA",264,464,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,151,0,111,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110980/result_54408_1677665140_thumb.jpg
SOKOTO,BODINGA,DANCHADI,33-02-08-010,"KARAZUNTU, KARAZUNTU",139,384,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,60,0,73,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3808/ward/25614/pu/112089/112089-1677664338.pdf
SOKOTO,BODINGA,BANGI/DABAGA,33-02-09-010,KWAMTSI KASUWA,82,325,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,55,0,26,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3808/ward/25615/pu/112105/112105-1677662197.pdf
