State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
TARABA,ARDO - KOLA,LAMIDO BORNO,34-01-05-001,"BADAWAIRE, NEAR JAURO'S PALACE",200,878,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,59,14,90,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3830/ward/25845/pu/114960/114960-1677457064.pdf
TARABA,ARDO - KOLA,SARKIN DUTSE,34-01-07-004,"SARKIN DUTSE, DUTSE PRIMARY SCHOOL",264,1118,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,13,74,122,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/004/004-1677364995.pdf
TARABA,BALI,BADAKOSHI,34-02-01-005,"HAMMAN ADAMA, GARIN JALO",250,1117,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,89,43,98,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3831/ward/25851/pu/115007/115007-1677840549.pdf
TARABA,BALI,GANGLARI,34-02-05-005,"J/IBRAHIM, J/IBAHIM",119,564,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,27,5,77,2,https://docs.inecelectionresults.net/elections_prod/1292/115050-1677855263.pdf
TARABA,BALI,GANGTIBA,34-02-06-002,"DEUKUSUM  II, ANG ABBO",49,264,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,11,2,36,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/002/002-1677398073.pdf
TARABA,DONGA,AKATE,34-03-01-003,"AKATE III, AKATE DISPENSARY",116,379,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,19,49,43,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/003/003-1677372699.pdf
TARABA,DONGA,ASIBITI,34-03-02-009,"GARGEA, KOFAR GARGEA DONGA",192,816,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,29,129,25,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25863/pu/115152/115152-1677606767.pdf
TARABA,DONGA,ASIBITI,34-03-02-016,"YERIMA, KOFAR YERIMAN DONGA",103,493,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,21,69,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25863/pu/115159/115159-1677609525.pdf
TARABA,DONGA,GINDIN DUTSE,34-03-05-013,"UHWESI II, KOFAR UHWESI",136,750,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,20,67,48,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25866/pu/115191/115191-1677670179.pdf
TARABA,DONGA,BIKADARKO,34-03-07-005,"TENDEGA, TENDEGA PRIMARY SCHOOL",47,930,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,3,44,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25868/pu/115207/115207-1677607888.pdf
TARABA,DONGA,MARARRABA,34-03-08-014,"YABE, KOFAR YABE",246,993,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,224,12,0,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114123/result_58783_1677610084_thumb.jpg
TARABA,DONGA,NYITA,34-03-09-002,"NWUWHA I, KOFAR YERIMA NWUHWA",0,992,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,73,96,24,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25870/pu/115225/115225-1677602479.pdf
TARABA,DONGA,NYITA,34-03-09-010,"TSOHO, NYITA PRIMARY SCHOOL",149,645,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,53,85,6,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3832/ward/25870/pu/115233/115233-1677607535.pdf
TARABA,GASHAKA,GALUMJINA,34-04-01-005,"GAMEN, GAMEN",149,809,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,13,17,90,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114144/result_58826_1677592403_thumb.jpg
TARABA,GASHAKA,GANGUMI,34-04-02-010,"KEME, KEME",14,298,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,8,0,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114155/result_58839_1677594281_thumb.jpg
TARABA,GASHAKA,GARBABI,34-04-03-008,"UNG. AJAYI, UNG. AJAYI",23,806,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,7,11,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114164/result_58853_1677679881_thumb.jpg
TARABA,GASHAKA,MAI-IDANU,34-04-07-001,"BAM I, BAM",140,771,True,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,45,0,88,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114186/result_58897_1677683776_thumb.jpg
TARABA,GASHAKA,MAI-IDANU,34-04-07-006,"MAYO SABERE, MAYO SABERE",92,562,True,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,44,0,45,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/114191/result_58902_1677677939_thumb.jpg
